team_abbr,xg_percent,elo
VGK,0.92,518.4000000000001
TOR,0.86,517.2
MIN,0.92,518.4000000000001
PHI,0.83,516.5999999999999
BUF,0.88,517.6
CGY,0.9,518.0
SJS,0.87,517.4
CBJ,0.88,517.6
MTL,0.87,517.4
UTA,0.91,518.1999999999999
NYR,0.9,518.0
FLA,0.92,518.4000000000001
TBL,0.92,518.4000000000001
BOS,0.83,516.5999999999999
PIT,0.9,518.0
EDM,0.9,518.0
COL,0.9,518.0
WSH,0.87,517.4
VAN,0.89,517.8
CAR,0.88,517.6
WPG,0.91,518.1999999999999
NSH,0.9,518.0
STL,0.91,518.1999999999999
ANA,0.87,517.4
NJD,0.91,518.1999999999999
DET,0.93,518.6
NYI,0.88,517.6
SEA,0.89,517.8
OTT,0.93,518.6
LAK,0.89,517.8
DAL,0.91,518.1999999999999
CHI,0.88,517.6
